Customer,Title,Comment,Rating,Date
"YJS","The Amazing Little Projector","Great picture and sound from such a small device! It really is the size of a soda can. I love the portability; I can watch anywhere in and out of the house. I tried it on my bedroom wall, maximum size and the picture quality is still great.I downloaded the phone app, because you can use your phone like a remote and personally i find it easier that way. So far Netflix, Prime video, and youtube all works well without a glitch.My dog is mesmerized by the moving images on the wall and the shiny light. Also likes to walk in front of the device, but it’s OK i like to watch canine silhouette show too.",5,
"PhilD","Everything they say it can do, it does, and does it well","I love this projector, it now goes on all my trips, the only minor problem is that the focus dial is way too sensitive, if it could have more travel that would be great.The display is great on most light surfaces, it works well sat at the bottom of the bed onto the ceiling.Obviousley, it needs darkness to be really good,but when its dark its great.The speaker is fantastic, who knew so much sound with great quality could come from this?",5,
"Kaci McCoy","It does what it do","Small, bright, and clear, with a decent speaker. I spent weeks checking reviews of portable projectors to use in lieu of a TV and during travel, ultimately deciding to go with this projector. It has delivered! We have used this indoors and out - the picture quality suffers a bit without a smooth surface or dark room, but not enough to dampen the experience. The speaker is surprisingly clear, although it may be a little quiet if there is background noise. One point to note: you must use the company’s app to play videos (log in to YouTube, Amazon, Netflix, etc.) rather than screen mirroring or casting from each individual app.",5,
"Jenni Haines","Best invention ever!!","We have used this on vacations, and most recently we stayed a few days with the kids in Vegas. After a long day of sightseeing, my husband set up the projector to show on the ceiling right above the children’s bed. Lol! We have a very nice full sized projector in our home. The picture quality in this nebula is just as clear!! We have been blown away with this product. Amazing!!",5,
"I'm a wolf rider, I'm free","The Bomb-Diggity","I am so impressed with this little projector. It was easy to set up and use and the picture quality and sound were great! I had it about 4 feet from the wall in a moderately lit room and we could see just fine. The remote was super easy to use. I have used it for watching videos and giving presentations  and it's perfect.",5,
"I HSUAN YEH","Best smart projector I’ve owned","Having owned other projectors, the quality of the Nebula Capsule honestly matches that of high-end projectors that cost in the thousands. And yet it’s a fraction of the size, is far more silent, and does not overheat to an absurd, untouchable temperature. It comes pre-loaded with works: Netflix, YouTube etc. The remote is intuitive and simple, and the remote smart phone app is genius.Needless to say, you get a lot of bang for your buck.",5,
"Sam.  T","Convenient","I enjoy using this projector.  I use it outside indoors for pleasure and business. Not as bright as electric projectors but well worth the convenience. Selling point for me was the 4-hour battery. I haven’t used it for a straight 4- hour projection, but I have used it for about 4 hours without charging over a couple of days.",5,
"Momoffour","Great customer service, great projector!","I feel compelled to rewrite our review.  Our first review we left only 2 starts due to a charging issue that started after a few uses.  I did not contact customer service because I assumed we had owned the device for too long (8 months) to do anything about our problem.  However, shortly after leaving the initial review, customer service contacted us and promptly replaced our device and sent us a a travel case for our trouble.  Anker stands behind their products!  The Nebula Capsule is small and does a great job.  We use it in our house on a screen but it  also worked great this summer outside on the side of our house.  Sound great, easy sharpening and connects to everything we have tried.",5,
"Luke Stamps","Best projector ever!","Excellent quality! The picture is even better in real life! Talk about being able to go to the bathroom and keep watching tv! Plus get the shower beer holder, watch TV in the shower!!! Party on Wayne!",5,
"David Yu","So happy with my purchase","I bought this for my wife for Christmas and she initially wanted to return it but thankfully she gave it a try first.  We don’t have a television in our bedroom or master bath so having this projector gives us the flexibility to watch things while in bed or lounging in the tub.  So happy with that aspect.  Then, I had to contact customer support for an issue I had and they were quick to respond (within 24 hours) and resolved my issue.  Would highly recommend the Capsule as a product and Nebula as a company!",5,
"FavoriteRN","Small device....packs a big punch!","I bought this off Amazon’s Travel Trunk. I’ve never heard or saw a projector so small, so stylish, project a great sound or picture. We have stopped using our TV for movie night because this item gives a more theater feel at night.",5,
"Ashley","It’s more like a portable smart tv 📺","I have stopped using my tv since I bought this thing. It’s self contained and I can download movies onto it! I even take it with me for long 🛁 baths. Way better than my iPad.A note- the upgrade button on the homepage is for updates, not an add.",5,
"Stacy Iler","As advertised","Pretty much exactly what I thought it was gonna be like. Sound and picture was great. Nice that you can control it with your phone or the remote control. I recommend buying a tripod to be able to put it anywhere while you watch movies and stuff",5,
"Amanda S.","Exactly what I was looking for!","Love it. Exactly what I was looking for and also so small. This was a replacement for a different one I had and am happy with all the options for hookup. I use it for work and also to project movies on the garage. Multipurpose.",5,
"Conner Harkness","A Theater in a Can Without Cables!","I can't even begin to describe how awesome it is to have a theater in my pocket built with quality in mind from a reputable brand. Like everyone is saying, the color is amazing. The device runs Android 7.1.2, and if you know how to side-load APKs, you can install apps like Google Chrome, RetroArch, and Kodi. I'm a fair bit disappointed that it doesn't come with Google Play Services and that I can't change the homescreen app, but Anker, if you're reading this, I want to help make that happen!",5,
"N.Reynolds","Picture and sound quality is great","I was surprised the picture and sound quality would be so good coming from something so small. Perfect gift for my husband with a great price.",5,
"Des","I'll never buy another TV","Was upset that when I bought this it wouldn't allow me to watch Netflix, but thanks to a previous review and some digging speaking with Rion from anker helped me out a lot. He literally helped me in 3 minutes. I'm very pleased with the customer service from Anker, and I love the Capsule.",5,
"Andrew Conant","Fantastic design, we lie in bed and watch movies on the ceiling.","Bluetooth and built in speaker are a pleasure to  use.",5,
"Lil'miss","Happy camper!!!","This has been the perfect addition to our home and camper!!!! Great picture and quality!!!! Couldn’t be happier with this product!!!!",5,
"Vincent E Freda","Great little projector. Even better customer service!","This little projector allows me to view all my streaming apps...on the ceiling! I’m very impressed with the picture and sound quality given how small a device this is. I was able to flawlessly use Netflix, Amazon, and YouTube directly from the Nebula Capsule. What I’m most impressed about is Anker’s customer service. I had a few questions and within minutes, a representative got back to me and answered all of my questions. Overall, I’m very pleased.",5,
"patrick","Amazing product","I've been using at remote places to show my documentaries, villages and etc.. it's a great product, very protable and good quality.",5,
"Amazon Customer","Great package","I used this inside my tent when I go camping. Can download movies from Netflix and play them off line. Fan can be heard but as soon as you play any sound, you won't hear it.",5,
"Bianca","You will not regret buying this!","This is definitely perfect for a movie date at home or solo watching, I really enjoy using this and it was easy to set up! I love this so much!",5,
"Jaycee","Wow!","Amazing little projector!",5,
"Gabby3780","Awesome picture, product, quality","This is an amazing little tool. Speaker is plenty loud and the picture is great!",5,
"Neal family","Top quality image and incredibly small device","",5,
"Norma A. Castaneda","Great lil tech device","Excellent for school presentations. Love that it has 360 degree sound.",5,
"Sharon Bisila","Great product! Great customer service!","Our first movie projector. We LOVE it!!! The customer service via email has been fast and very supportive. Thank you! We were worried that something so small not have good sounds but we are amazed.",5,
"Kelly","It’s a good splurge.","I love it ! I realized I don’t watch more than I believed but it’s an amazing device !!! I love it. The only downside is I wanted to add spectrum TV and couldn’t but I really like it.",5,
"Brenda","Tiny and amazing","This is really the size of a soda can!! Picture quality is great. The speakers are loud enough to fill a garage. I’m a little upset it not Hulu or hbo compatible but I’m buying the chrome cast extension for that",5,
"Elizabeth Chandra","Would recommend if you need portability and comparability with game system","Given that I live in an apartment and move around often, I wanted something portable to project my Nintendo switch screen. The graphics and gameplay are pretty smooth while connected with HDMI cable. I would continue using this product.",5,
"SRH","Love it","It is difficult to add apps. But love it.",5,
"Virginia","May need to add additional speakers","Very nice unit.",5,
"Juan Pablo Gonzalez","Customer support is verry attentive","I got my nebula projector and the battery was not working correctly, and the provider sent me another one and was always asking me how was the replacement. The attention was super good and they are pretty available for you",5,
"Kelly Goldmann","Great projector!","After buying and returning 3 other projectors, we are loving this one. Well worth the money!",5,
"apology guy","No need word to say","What should I say? Those pictures said it all!",5,
"Jimmy Deer","Awesome projector!!","Just received this yesterday! love it!! I had to look through the manuel to figure out how to get it to focus (the thing on the side that looks like volumn control.) The sound is great for a medium size conference room.",5,
"Huseyin","nice","good quality",5,
"Duc","Great and very portable projector","Bought it as a birthday gift for my wife and she loves everything about it. Received a free case with it. Amazon prime videos, YouTube and Netflix work out of the box. Can add more apps as needed, haven’t tried videos of USB key just yet but so far very impressed by the picture quality and sound",5,
"Jesse","Perdé","Please forgive my last report. Excellent product. Works perfectly. Thinking about buying another one.",5,
"Vince","Perfect","Amazing little projector",5,
"Karla Cárdenas","Excellent","Excellent",5,
"Ah may zing","Just dope","Came in handy for beach Vaca with the kids.",5,
"Steven F.","Not bad meaning bad, but bad meaning good.","Pretty cool. I really dig it. Love the design, feels like something outta star trek. Price is high but if you wanna treat yourself this the one.",5,
"Night Watchman","Anker Nebula Capsule","Delivered as expected",5,
"Siyuan Ma","Good","Good",5,
"Tryingeye","Amazing product","",5,
"Lauren January","Great picture.","I love this! Picture is absolutely amazing as well.",5,
"MaxJoyLife","Small, projection huge. Game changer.","Outstanding! Huge projection. Detail is amazing. And so small!",5,
"JRE","Five Stars","exceeded expectations",5,
"Robert Koch","Would buy again!","Works great in the dorm.",5,
"josie","Easy to use","item was late but came and loved it.",5,
"BreuckelenDude",".","Great item. I use it for mobile gaming and entertaining at night. Plan on buying more for the perfect gifts.",5,
"Amazon Customer","Lag, but overall worth it","Very compact and versatile. Does Lag with picture when connected by cord or streamed by Bluetooth.",5,
"Erin Esposito","Great to use at night","Love using it outdoors!",5,
"Kawther","Best item","Perfect",5,
"Phillip Borawski","Great portability, awesome projector!","I purchased this projector a few weeks ago and have been very happy with it thus far! Wonderful product !",5,
"yoon ki han","In usb ppt file can't play?","Muchas Gracias!!! Satisfecho su productos!!!",5,
"Remy","Have a Netflix account","Works amazingly and as long as you have some basic adaptors and WiFi, you’ll have everything you’d need to use it",5,
"Ricky","I love it!","So many function build in a tiny projector. It's working perfect.",5,
"Virginia Hepworth","amazing product - definitely recommend","great sound and video quality! just dont know where to put it sometimes bc there's no stand",5,
"Travis","nice","Gt",5,
"Yaovi Dagba","Clear pictures","Amazing device",5,
"Sharon Vandenbos","Great picture and sound!","Great picture and sound!",5,
"Bal","Great Portable Projector","My daughters like it very much!",5,
"Geass13","Great for Nintendo Switch gameplay","Awesome",5,
"Snosons","Great tiny portable device with an Apple-like attention to detail","Great tiny portable device that works flawlessly with Netflix and Spotify running on the device (which runs Android). You can also stream your screen to the device using AirPlay or use the device as a bluetooth speaker. The hardware IR remote feels nice in hand but there's also a free bluetooth remote control app on the App Store. The automatic keystone correction is the coolest feature of this device -- tilt the Nebula up slightly and the shape of the projection will look like a trapezoid. Then the device realizes the projection is askew and automatically adjusts the shape of the projection to a rectangle again!",5,
"Amazon Customer","Great. Once in a while, you get great products.","Love it. Everything it said it was. More",5,
"Dave_H","Simply Awesome! Just love this product","Simply Awesome! Just love this product. I purchased it from their campaign on Indiegogo along with the carry case and stand.Pros:1. UI interface is great using aptoide apk to download apps (although not as good as Android Play store) but still has most of the apps.2. Settings has 4 different options to project the screen and also has an option to clean cached data which is great.3. Sound quality of the speakers is awesome4. Really portable and battery life is good. (runs around 2.5 - 3 hrs on full charge. You can also keep it connected to power source and keep it running)5. Haven't fully tested their app from play store but so far no issues.Cons:1. Works okay in well lit condition. You need the room to be slightly dark in order to have a good viewing experience.2. No usb-c support but not a deal breaker for me as I use other dongles.3. I heard a lot of people complaining about the 480 resolution. I personally did not have any issues with the quality of videos I watched on youtube, netflix etc.4. The top buttons (layer) of the projector is made of plastic. Overall the build quality is great but if the can make the top layer have a more rubbery feel (like the provided remote), it would be great.All in all a wonderful product. Just a suggestion if Nebula team can provide 100 inch screens as an add-on along with carry case and stand then it would be a great combination.",5,
"Mike O","Ok, I have a case of the WOWs... love this portable projector!","One work summary:  WOW!  Great build quality, and Christian from Nebula support was able to help me activate the use of the Google Play Store!  The battery life is great and it is such a convenient product.  So nice not to have to carry a billion things for great portable (and shareable) video!  The image quality is very good, even though it is not 1080p... very acceptable picture quality.  In a dark environment, the picture is downright awesome.  Great not to have to carry extra speakers as well.",5,
"Darby","Amazing Product!","I originally got this product for business. I am in sales an want to be able to project my power point presentations on this. I recently hosted a coaches summit for work in my office and this was used to do just that! There wasn't a conference room available so this worked out perfectly!  We now use it in our house as a portable TV for netflix/hulu. I love it! With any projector the sound can come off a bit muffled but overall I love the capabilities it has and could see myself continuing to invest in the Nebula in the future!",5,
"julita cherry","Great little device","This is a great little projector. I love the compact size. The sound and picture are great. Customer service was great also when I needed help. It’s easy to use. The remote is useless. I use the app on my phone to control it.",5,
"RE","Wow","This thing is totally amazing I’m just getting started using but the sound quality and picture great for the size!!!",5,
"jenn0123","Great device for home use or travel!","The Capsule is great and customer service amazing too. The picture is bright enough to go far in a medium-dark room, and the sound is quite loud as well. When I've asked questions of them about the device the customer service replies right away. I love this and take it with me to hotels when I travel (easy to connect it to hotel WiFi). All in all a great device!",5,
"Nicole","Super awesome!","My Dad LOVED it for his Birthday!!",5,
"Jeffrey","Love","This product is unbelievable! Exactly what I was looking for. It’s incredibly easy, wireless, and high quality...",5,
"MONICA E. MARMOL V.","Multi funcion, parlante y proyector","Increible, funciona como parlante y tiene buena definicion",5,
"Maggie","Anker Nebula Capsule is well worth the money!!!!","I have been blown away by the quality of this product. It was well worth the money!I'm going to start with probably the most important aspect, brightness. I have used this projector outside about a half hour before dark and was able to see the picture very well. It was projected on a tan shed and it was still a quality picture. I don't think anyone will have trouble viewing movies with this outside after/or close to dark.The sound is amazing! The only time I wished for a little more volume was camping outside with a TON of cricket/locust noise AND I was probably 8 feet from the projector. The volume is amazing for such a small machine. And the fan noise has NEVER bothered us. My fiance didn't even know there was a fan because he had never heard it run. It may be a little loud if you were real close to the projector, or in a very small room, but its not noticeable outside.Battery life is qonderful! You can easily watch two movies on a full charge, and it takes very little time to recharge.We have only watched Netflix on this device so far so I have not used the remote provided because for some reason it doesn't work with Netflix. This is by no means a deal breaker. The app you download on your phone is extremely easy to use, and gives you more flexibility.I love this projector! It has far exceeded my expectations. I rave to everyone about the quality of my nebula! So glad I chose to spend the extra money and go with this one!",5,
"danahiggins","The price","Works great on my sun porch, with black out curtains",5,
"Noel","Good projector","Good projector",5,
"JHanson","This little projector is amazing!  After you unlock the full Google experience! Takes 5 minutes.","This little projector is amazing!  With the help of Adam at Anker I had the google app store up and running in 5 minutes.  Now, this thing is a full functioning android projector!  Go to ABOUT in the settings menu and CLICK ON THE ANDROID VERSION 5 TIMES in a row.  A password window comes up, input a password you must obtain from Anker...... then click DONE and OK.  You will be presented with a new download.  Say yes and download it. After it finishes it will reboot.  When it reboots you will have full google apps including the google play store.  To access the play store go to APP MANAGER on the home menu and you will see the play store and all the other google apps.  This addition made the capsule a truly amazing device!  Anker customer support is great.  Adam was very helpful and they answer the phone right away.",5,2018-05-25 00:00:00.000
"T Wang","can sit nicely on most surfaces and also comes with a standard ...","This is a revolutionary product --- a very usable portable projector. It is decently bright; can work for hours on battery; can sit nicely on most surfaces and also comes with a standard tripod screw hole. It comes with Android 7.1, so it works as a portable smart TV on its own. It can also mirror screens of cell phones (I tested both IOS and android) and computers through wifi and bluetooth. Therefore, it has a very convenient and truly wireless setup. There is simply no other non-Anker/Nebula portable projector available today (Jan 2018) in its league.The only projector worthy of comparison is the Nebula Mars. For not too much more money (especially when Mars has a discount), you get 500 ANSI Lumens vs 100, 1280x800 resolution vs 854x480, 19500mAh battery vs 5200mAh, 10W JBL speakers vs 5W unknown speakers. So Mars seems like a better deal. However, I simply cannot get over the portability of Capsule. In my mind, this single factor outweighs all the rest of them. Moreover, Capsule runs Android 7.1 now and probably will get an Android 8 upgrade, while Mars still has Android 4.4.  That is another plus for Capsule. Actually, the two seem to have the same processor, RAM and ROM, so maybe Mars may also have the updated software one day?The Amazon page is missing most of the specs mentioned above. Instead of brightness, battery capacity and resolution, it mentions picture sizes and playtime. But the specs should nevertheless be there.I have been using this device for two days, for projecting my screen when working, and for movies. When projecting 100"" images, it is perfectly bright in a dark room at night, but is very dim during daytime even with the curtains closed. But I can always move it closer to the wall and make the projection smaller. At 30"", the pictures are visible even in a bright room. So in terms of brightness, I would say it is very usable. There are two modes: standard and ""battery"". I assume the latter will make it dimmer. The battery life is amazing. The Amazon description says 4 hours, while the Indiegogo description says 2.5 hours. With the device set to standard mode, I could use it nonstop (steaming videos online) for 4 hours and still have about 30% charge left. It has automatic vertical keystone correction. There is no horizontal ones, but that is normal.  It is suggested to work below a relative humidity of 85%, and does not seem to have any IP ratings, so using it in the bathroom may not be a good idea. To stream media from a USB flash drive, you have to use the provided micro USB male to USB A female cable that is about 2 inches long, like a tail to the device. While the setup does not look nice and the conversion cable is one more thing to carry, it is a pretty logical choice.The device is very well packaged --- better than Apple products, I would say.  It also comes with high-quality accessories, including a travel porch with the same material as those for Anker batteries, an Anker micro USB cable and a nice compact charger with Quick Charge 3.0.",5,2018-01-11 00:00:00.000
"Amb2020","Amazing little device","This will save you a lot of research... I'll address some of the ""pitfalls"" that others have mentioned in their initial reviews first and then will tell you how much I like this device.- Limited App store: I found this to be the case at first, but with help from an awesome Nebula representative named Ashley, there's a very simple workaround and YOU CAN DOWNLOAD MOST APPS.  Go to APKpure.com and download the android app installers to a thumb drive. Then plug the thumb drive into the capsule and install the apps.  It's really simple and I wasn't sketched out by the process (I'm pretty hesitant to download things from unknown sources) and it worked like a charm.  I now have Sling TV, HBO Go, Showtime Anytime, and most of the apps I couldn't download from the native store. Took me about 20 minutes to find, download, and install all of the apps I wanted.- Brightness: it's really pretty impressive.  You have to consider that this thing is the size of a soda can... You don't need the room to be super dark to get a pretty bright picture from about 3-8 feet from the wall.  In a reasonably dark room, you can back up to about 10-11 feet away and get a massive screen, with pretty good clarity and brightness.- Sound: again, consider what this device is.  Its the size of a coke can.  It's not bad.The best thing about this gadget is that its really so portable, and its so easy to just place on a table, turn it on and start watching.  The throw range on this projector is great for how you'll use it-  you will have somewhere between an 80-100 inch screen from the average coffee table.  It's also awesome that it runs android and therefore can house a ton of native apps and you don't have to always lug another device around with the projector.  The battery will easily get you through a movie even if you're also using the speaker.  For movies, I'd say you want to connect to a separate bluetooth speaker.  Final point is that both Anker and Nebula will never really let you down.  The customer service experience is fantastic and they are more than happy to let you beta test new features.UPDATE:After a few weeks of everyday use, I like this thing even more.  All of the features you get for the price make this a great value-- and it's sturdy as hell.  I've already knocked it off my coffee table and it is fine.  I'm projecting onto a white wall about 10 feet from the projector and in dark settings, the screen is roughly 7'x4' and the contrast is pretty decent/pretty good.  The focus wheel is really sensitive, so I find that sometimes I am super impressed by the picture clarity, and sometimes I just can't seem to get it right no matter how hard I try.  That said, it's definitely going to exceed your expectations in terms of overall picture (given its size and price tag) and it is really well built.  Some of the apps I downloaded via my little trick are finicky and don't work sometimes, but sling tv and YouTube Tv work pretty well as well as obviously the native apps like Amazon Prime Video, Netflix, etc.  And get a tripod... I got",5,2018-05-14 00:00:00.000
"Pocky","Now I have my own 100 inch screen!","My neighbor got one from indiegogo. Last month I was invited to his wine reception and enjoyed an unforgettable movie night with this projector. I searched it on amazon for a long time, but I can't wait, now I have my own Capsule. Great product with great value!",5,2018-04-03 00:00:00.000
"Ethi Chaudhary","Its perfect! The sound","Its perfect! The sound, picture, connections, everything!- gives a large, crisp, bright image even in semi-darkness,- has EXCELLENT in-built speakers (which can be used as only speakers without the projector too!),- wifi connectivity makes netflix, amazon, youtube etc connections really easy (do note you cannot sign in to your youtube account from it, but you can always use phone mirroring for that)- the phone app can be used as remote for the projector : phone literally becomes a touch pad for the projector control (super handy!!)- connects very easily to phone- charges with a simple regular USB cable (haven't tried connecting my laptop to it so can't comment on that)I looked around A LOT before finalizing this projector and am really happy with the decision.Just in case you are interested, below is a list of pointers I had created for the several projectors I looked at:toumei mini pico c800w- internal 8gb storage- can run for 2 hours without connected charging- good remote- has bluetooth and wifi- can mirror phone- bad speakersnebula capsule- no tripodwowoto h8- has to be on constant charging- very silent-----------------rejected-----------------apeman- tripod included, compact, very good picture quality-$200- no wireless connectivity- to connect to phone, additional wires neededlaser beam pro c200- $400- no focus adjustment needed- wireless connection possible, wifi bluetooth- low volume- no remotetenker minicube s6- has tripod- remote has flat round battery- not many reviewstenker Q5- no cables- very cheap ($50)-not that great quality-no wireless connectivityxgimi cc aurora- 560$optoma hd142x550$axxaa p300 : rejected- no wifi, bluetoothgoodee: rejected- no internal power supply (always need connection)- not easy to focus- good picture quality- no bluetooth/wifiphilips 4935 pocket: rejected- no good connecting cables- no tripod- bad amazon reviewsuo smartbeam : rejected- no audio jackrif cube : rejected- bad picture quality, no bluetoothdr.j : rejected- manual focus and keystone- not good picture quality- flimsy body- does have remotesony mpcd1 : rejected- no laptop connector cable- no lens cap- no inbuilt memoryaaxa pico p2-a  : rejected- no keystone correctionlg minibeam:- costly (550$)",5,2018-07-09 00:00:00.000
"dfa1234","great quality, easy to use & stream from various apps","This projector is awesome! My husband got it for me for Christmas I was nervous because I have a lot of Apple products and I am not used to android but so far it's been super easy to use and compatible with my iphone and airplay and mirroring. I have also hooked my phone up with a hdmi/lightening adapter but don't really notice a difference in quality I think streaming and hardwiring are both great. I set up netflix, youtube, and the dish anywhere app right on the device and stream easily with no issues although I do use the nebula connect app on my phone as a remote for netflix and dish. I think the quality is not much different than my high def 1080p TV. My kids are all obsessed with watching movies on the every wall in our house now , it works well in all of our neutral painted rooms and pretty good on my sons dark blue walls in his room. We also use it in bed on the ceilings. I can't fit a TV anywhere in our kitchen so now i can set it up and project it pretty much anywhere in there. The speakers work well and it goes louder than I expected it to. I plan on buying the stand to go with it since finding somewhere to put it that is the right height all the time is kind of annoying. It is pretty durable too and has survived my 3 and 5 year old playing with it. But I also purchased the assurian warranty too just in case.",5,2019-01-02 00:00:00.000
"Rebecca M","Amazing projector for the price. Tons of fun","We have had the Nebula Capsulefor about two months now and absolutely love it. We downloaded Netflix to the capsule and were then able to download shows from Netflix to the capsule.  We put the nebula capsule in our mini van on a tripod and placed it on the floor and th kids were able to watch all of their Netflix shows while on our road trip. It made for a much happier ride for the kids.Also, we had lost the remote. I emailed Nebula capsule customer service to purchase anew remote and they sent me one for free.My wife and I also found a lot of enjoyment out of this capsule. I downloaded our favorite movie “Forgetting Sarah Marshall”on to the Netflix app on the capsule and we watched it in our hotel room wall at about 10 feet in size.So much fun and a great device. Great sound and great picture for something so small. This is the first review I have ever written on amazon and it’s because this is such a good buy.",5,2018-07-10 00:00:00.000
